colname,award,idv,Tag,size,definition
CCR_EXCEPTION_TYPE,list_element[['vendor']][['CCRException']][[1]],list_element[['vendor']][['CCRException']][[1]],no,VARCHAR(1),The reason a vendor/contractor not registered in the mandated SAM system may be used in a purchase.
CITY,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isCityLocalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isCityLocalGovernment']][[1]],no,VARCHAR(3),https://www.sam.gov
CLAIMANT_PROGRAM_CODE,list_element[['productOrServiceInformation']][['claimantProgramCode']][[1]],list_element[['productOrServiceInformation']][['claimantProgramCode']][[1]],no,VARCHAR(3),"A claimant program number designates a grouping of supplies, construction, or other services."
CLINGER_COHEN_PLAN_COMPLIANCE,list_element[['legislativeMandates']][['ClingerCohenAct']][[1]],list_element[['legislativeMandates']][['ClingerCohenAct']][[1]],no,VARCHAR(1),A code indicating the funding office has certified that the information technology purchase meets the planning requirements in 40 USC 11312 & 40 USC 11313.
COMMUNITY_DEVELOPMENT_CORP,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isCommunityDevelopmentCorporation']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isCommunityDevelopmentCorporation']][[1]],no,VARCHAR(3),https://www.sam.gov
COMMUNITY_CORP_OWNED_FIRM,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isCommunityDevelopedCorporationOwnedFirm']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isCommunityDevelopedCorporationOwnedFirm']][[1]],no,VARCHAR(3),NA
COMPLETION_DATE,list_element[['relevantContractDates']][['currentCompletionDate']][[1]],NA,no,DATETIME,"Report the contract completion date based on the schedule in the contract. For an initial award, report the scheduled completion date for the base contract and for any options exercised at time of award. For modifications that exercise options or that shorten (such as termination) or extend the contract period of performance, report the revised scheduled completion date for the base contract including exercised options. If the award is solely for the purchase of supplies to be delivered, the completion date should correspond to the latest delivery date on the base contract and any exercised options. DO NOT change the completion date to reflect a closeout date."
CONGRESSIONAL_DISTRICT,list_element[['placeOfPerformance']][['placeOfPerformanceCongressionalDistrict']][[1]],NA,no,VARCHAR(6),"For U.S. Place of Performance, indicates the Congressional District if it can be determined. Otherwise, indicates that multiple districts may be involved."
CONSOLIDATED_CONTRACT,list_element[['contractData']][['consolidatedContract']][[1]],list_element[['contractData']][['consolidatedContract']][[1]],no,VARCHAR(1),"Consolidation, ""consolidation of contract requirements,"" ""consolidated contract,"" or ""consolidated requirement""- (1) Means a solicitation for a single contract, a multiple-award contract, a task order, or a delivery order to satisfy- (i) Two or more requirements of the Federal agency for supplies or services that have been provided to or performed for the Federal agency under two or more separate contracts, each of which was lower in cost than the total cost of the contract for which offers are solicited; or (ii) Requirements of the Federal agency for construction projects to be performed at two or more discrete sites. (2) ""Separate contract"" as used in this definition, means a contract that has been performed by any business, including small and other than small business concerns."
CONTRACT_FINANCING,list_element[['contractData']][['contractFinancing']][[1]],NA,no,VARCHAR(4),"Type of financing used to effect payment (progress payments, advance payments, etc.)."
CONTRACT_FOR_FOREIGN_ENTITY,list_element[['productOrServiceInformation']][['manufacturingOrganizationType']][[1]],list_element[['productOrServiceInformation']][['manufacturingOrganizationType']][[1]],no,VARCHAR(1),Code that indicates vendor entity
CONTRACTING_AGENCY_ID,list_element[['purchaserInformation']][['contractingOfficeAgencyID']][[1]],list_element[['purchaserInformation']][['contractingOfficeAgencyID']][[1]],no,VARCHAR(4),The code for the agency of the contracting office that executed or is otherwise responsible for the transaction.
CONTRACTING_OFFICE_ID,list_element[['purchaserInformation']][['contractingOfficeID']][[1]],list_element[['purchaserInformation']][['contractingOfficeID']][[1]],no,VARCHAR(6),The agency supplied code of the contracting office that executes the transaction.
CONTRACTS,list_element[['vendor']][['vendorSiteDetails']][['vendorRelationshipWithFederalGovernment']][['receivesContracts']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorRelationshipWithFederalGovernment']][['receivesContracts']][[1]],no,VARCHAR(3),https://www.sam.gov
CONTRACTS_GRANTS,list_element[['vendor']][['vendorSiteDetails']][['vendorRelationshipWithFederalGovernment']][['receivesContractsAndGrants']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorRelationshipWithFederalGovernment']][['receivesContractsAndGrants']][[1]],no,VARCHAR(3),https://www.sam.gov
CORP_ENTITY_NOT_TAX_EXEMPT,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isCorporateEntityNotTaxExempt']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isCorporateEntityNotTaxExempt']][[1]],no,VARCHAR(3),https://www.sam.gov
CORP_ENTITY_TAX_EXEMPT,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isCorporateEntityTaxExempt']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isCorporateEntityTaxExempt']][[1]],no,VARCHAR(3),https://www.sam.gov
COST_ACCT_STANDARDS,list_element[['contractData']][['costAccountingStandardsClause']][[1]],list_element[['contractData']][['costAccountingStandardsClause']][[1]],no,VARCHAR(1),Indicates whether the contract includes a Cost Accounting Standards clause.
COST_OR_PRICING_DATA,list_element[['contractData']][['costOrPricingData']][[1]],list_element[['contractData']][['costOrPricingData']][[1]],no,VARCHAR(21),"A designator that indicates if cost or pricing was obtained, not obtained or waived."
COUNCIL_OF_GOVERNMENTS,list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isCouncilOfGovernments']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isCouncilOfGovernments']][[1]],no,VARCHAR(3),https://www.sam.gov
COUNTRY_OF_ORIGIN,list_element[['productOrServiceInformation']][['countryOfOrigin']][[1]],NA,no,VARCHAR(3),Identifies the country of product or service origin.
COUNTY,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isCountyLocalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isCountyLocalGovernment']][[1]],no,VARCHAR(3),https://www.sam.gov
CURRENT_TOTAL_VALUE,list_element[['totalDollarValues']][['totalBaseAndExercisedOptionsValue']][[1]],NA,no,"NUMERIC(37,2)","This is a system generated element providing the sum of all the amounts entered in the ""Base and Exercised Options Value"" field for a particular PIID and Agency. Example: Contract has 9 Modifications under ""Transaction Number"" as '1' and 9 modifications with the same PIID under ""Transaction Number"" as '2'. The base contracts and all the modifications have ""Base and Exercised Options Value"" as $10 each. The value for the field ""Total Base and Exercised Options Value"" when the either of the bases or the modification is retrieved through atom feeds will be $200 ($100 under Transaction Number 1 + $100 under Transaction Number 2). ""Total Base and Exercised Options Value"" is generated irrespective of the ""Transaction Number"" on the Awards."
DATE_SIGNED,list_element[['relevantContractDates']][['signedDate']][[1]],list_element[['relevantContractDates']][['signedDate']][[1]],no,DATETIME,"The date that a mutually binding agreement was reached. The date signed by the Contracting Officer or the Contractor, whichever is later."
DESCRIPTION_OF_REQUIREMENT,list_element[['contractData']][['descriptionOfContractRequirement']][[1]],list_element[['contractData']][['descriptionOfContractRequirement']][[1]],no,VARCHAR(4500),"Enter a brief, summary level, plain English, description of the contract, award, or modification."
DOING_BUSINESS_AS_NAME,list_element[['vendor']][['vendorHeader']][['vendorDoingAsBusinessName']][[1]],list_element[['vendor']][['vendorHeader']][['vendorDoingAsBusinessName']][[1]],no,VARCHAR(120),The doing as business name of the contractor address.
DOLLARS_OBLIGATED,list_element[['dollarValues']][['obligatedAmount']][[1]],list_element[['dollarValues']][['obligatedAmount']][[1]],no,"NUMERIC(37,2)",The amount that is obligated or de-obligated by this transaction.
DOMESTIC_SHELTER,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isDomesticShelter']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isDomesticShelter']][[1]],no,VARCHAR(3),https://www.sam.gov
DOT_CERTIFIED_DISADV_BUS,list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isDOTCertifiedDisadvantagedBusinessEnterprise']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isDOTCertifiedDisadvantagedBusinessEnterprise']][[1]],no,VARCHAR(3),https://www.sam.gov
EDJVWOSB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isJointVentureEconomicallyDisadvantagedWomenOwnedSmallBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isJointVentureEconomicallyDisadvantagedWomenOwnedSmallBusiness']][[1]],no,VARCHAR(3),"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is a Joint Venture Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'."
EDUCATIONAL_INSTITUTION_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isEducationalInstitution']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isEducationalInstitution']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is an Educational Institution or not. It can be derived from the SAM data element, 'Business Types'."
EDWOSB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isEconomicallyDisadvantagedWomenOwnedSmallBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isEconomicallyDisadvantagedWomenOwnedSmallBusiness']][[1]],no,VARCHAR(3),"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'."
EFFECTIVE_DATE,list_element[['relevantContractDates']][['effectiveDate']][[1]],list_element[['relevantContractDates']][['effectiveDate']][[1]],no,DATETIME,"The date that the parties agree will be the starting date for the contract's requirements. This is the period of performance start date for the entire contract period, this date does not reflect period of performance per modification, but rather the start of the entire contract period of performance. This data element does NOT correspond to FAR 43.101 or 52.243 and should not be mapped to those fields in your contract writing systems."
EMERGING_SMALL_BUSINESS_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isVerySmallBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isVerySmallBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is an Emerging Small Business Organization or not. It can be derived from the SAM data element, 'Business Types'."
EST_ULTIMATE_COMPLETION_DATE,list_element[['relevantContractDates']][['ultimateCompletionDate']][[1]],NA,no,DATETIME,The estimated or scheduled completion date including the base contract or order and all options (if any) whether the options have been exercised or not.
EVALUATED_PREFERENCE,list_element[['competition']][['evaluatedPreference']][[1]],list_element[['competition']][['evaluatedPreference']][[1]],no,VARCHAR(6),The designator for type of preference determined for the contract action.
EXTENT_COMPETED,list_element[['competition']][['extentCompeted']][[1]],list_element[['competition']][['extentCompeted']][[1]],no,VARCHAR(3),A code that represents the competitive nature of the contract.
FED_BIZ_OPPS,list_element[['competition']][['fedBizOpps']][[1]],list_element[['competition']][['fedBizOpps']][[1]],no,VARCHAR(1),Indicates whether the synopsis requirements of FAR Subpart 5.2. have been observed.
FEDERAL_GOVERNMENT_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['federalGovernment']][['isFederalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['federalGovernment']][['isFederalGovernment']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Federal Government Organization or not. It can be derived from the SAM data element, 'Business Types'."
FIRM_8A_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertified8AProgramParticipant']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertified8AProgramParticipant']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is an 8(a) Program Participant Organization or not. It can be derived from the SAM data element, 'Business Types'."
FIRM8A_JOINT_VENTURE,list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertified8AJointVenture']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertified8AJointVenture']][[1]],no,VARCHAR(3),https://www.sam.gov
FOR_PROFIT_ORGANIZATION,list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['profitStructure']][['isForProfitOrganization']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['profitStructure']][['isForProfitOrganization']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Profit Organization or not. It can be derived from the SAM data element, 'Business Types'."
FOREIGN_FUNDING,list_element[['purchaserInformation']][['foreignFunding']][[1]],list_element[['purchaserInformation']][['foreignFunding']][[1]],no,VARCHAR(1),"Indicates that a foreign government, international organization, or foreign military organization bears some of the cost of the acquisition"
FOREIGN_GOVERNMENT,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isForeignGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isForeignGovernment']][[1]],no,VARCHAR(3),https://www.sam.gov
FOREIGN_OWNED_AND_LOCATED,list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['isForeignOwnedAndLocated']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorOrganizationFactors']][['isForeignOwnedAndLocated']][[1]],no,VARCHAR(3),https://www.sam.gov
FOUNDATION,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isFoundation']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isFoundation']][[1]],no,VARCHAR(3),https://www.sam.gov
FUNDING_AGENCY_ID,list_element[['purchaserInformation']][['fundingRequestingAgencyID']][[1]],list_element[['purchaserInformation']][['fundingRequestingAgencyID']][[1]],no,VARCHAR(4),The code for the agency that provided the preponderance of the funds obligated by this transaction.
FUNDING_OFFICE_ID,list_element[['purchaserInformation']][['fundingRequestingOfficeID']][[1]],list_element[['purchaserInformation']][['fundingRequestingOfficeID']][[1]],no,VARCHAR(6),"The funding agency provided code that identifies the office (or other organizational entity) that provided the preponderance of funds. If the Funding Agency is a non-DoD agency, the code is defined by the agency. If the Funding Agency is a DoD agency, the code is the DoD Activity Address Code (DODAAC)."
GFE_GFP,list_element[['contractData']][['GFE-GFP']][[1]],list_element[['contractData']][['GFE-GFP']][[1]],no,VARCHAR(1),"The contract uses equipment or property furnished by the government, pursuant to FAR 45."
GLOBAL_UEI_NUMBER,list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['vendorUEIInformation']][['ultimateParentUEI']][[1]],list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['vendorUEIInformation']][['ultimateParentUEI']][[1]],no,VARCHAR(20),N/A
GLOBAL_VENDOR_NAME,list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['vendorUEIInformation']][['ultimateParentName']][[1]],list_element[['vendor']][['vendorSiteDetails']][['entityIdentifiers']][['vendorUEIInformation']][['ultimateParentName']][[1]],no,VARCHAR(130),N/A
GRANTS,list_element[['vendor']][['vendorSiteDetails']][['vendorRelationshipWithFederalGovernment']][['receivesGrants']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorRelationshipWithFederalGovernment']][['receivesGrants']][[1]],no,VARCHAR(3),https://www.sam.gov
HAOB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isHispanicAmericanOwnedBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isHispanicAmericanOwnedBusiness']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Hispanic American Owned Business or not. It can be derived from the SAM data element, 'Business Types'."
HBCU_FLAG,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isHistoricallyBlackCollegeOrUniversity']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isHistoricallyBlackCollegeOrUniversity']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Historically Black College or University or not. It can be derived from the SAM data element, 'Business Types'."
HIGHER_LEARNING,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isStateControlledInstitutionofHigherLearning']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['isStateControlledInstitutionofHigherLearning']][[1]],no,VARCHAR(3),https://www.sam.gov
HISPANIC_SERVICING_INSTITUTION,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isHispanicServicingInstitution']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isHispanicServicingInstitution']][[1]],no,VARCHAR(3),https://www.sam.gov
HOSPITAL_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isHospital']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorLineOfBusiness']][['isHospital']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Hospital or not. It can be derived from the SAM data element, 'Business Types'"
HOUSING_PUBLIC_OR_TRIBAL,list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isHousingAuthoritiesPublicOrTribal']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isHousingAuthoritiesPublicOrTribal']][[1]],no,VARCHAR(3),https://www.sam.gov
HUBZONE_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertifiedHUBZone']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorCertifications']][['isSBACertifiedHUBZone']][[1]],no,VARCHAR(3),"List characteristic of the contractor such as whether the selected contractor is a Historically Underutilized Business Zone (HUBZone) Firm or not. It can be derived from the SAM data element, 'Business Types'."
IDV_CONTRACT_TYPE,list_element[['contractData']][['referencedIDVType']][[1]],list_element[['contractData']][['referencedIDVType']][[1]],no,VARCHAR(1),N/A
IDV_DEPARTMENT_ID,list_element[['awardID']][['referencedIDVID']][['agencyID']][[1]],list_element[['contractID']][['referencedIDVID']][['agencyID']][[1]],no,VARCHAR(10),Identifier used to link agency in FPDS-NG to referenced IDV information.
IDV_MODIFICATION_NUMBER,list_element[['awardID']][['referencedIDVID']][['modNumber']][[1]],list_element[['contractID']][['referencedIDVID']][['modNumber']][[1]],no,VARCHAR(25),"When reporting orders under Indefinite Delivery Vehicles (IDV) such as a GWAC, IDC, FSS, BOA, or BPA, report the Modification Number along with Procurement Instrument Identifier (Contract Number or Agreement Number) of the IDV. For the initial load of a BPA under a FSS, this is the FSS contract number. Note: BOAs and BPAs are with industry and not with other Federal Agencies"
IDV_MUL_OR_SINGLE_AWARD_IDC,list_element[['contractData']][['referencedIDVMultipleOrSingle']][[1]],list_element[['contractData']][['referencedIDVMultipleOrSingle']][[1]],no,VARCHAR(3),N/A
IDV_PIID,list_element[['awardID']][['referencedIDVID']][['PIID']][[1]],list_element[['contractID']][['referencedIDVID']][['PIID']][[1]],no,VARCHAR(50),"When reporting orders under Indefinite Delivery Vehicles (IDV) such as a GWAC, IDC, FSS, BOA, or BPA, report the Procurement Instrument Identifier (Contract Number or Agreement Number) of the IDV. For the initial load of a BPA under a FSS, this is the FSS contract number. Note: BOAs and BPAs are with industry and not with other Federal Agencies."
INDIAN_TRIBE,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isIndianTribe']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isIndianTribe']][[1]],no,VARCHAR(3),https://www.sam.gov
INHERENTLY_GOVERNMENTAL_CODE,list_element[['contractData']][['inherentlyGovernmentalFunction']][[1]],list_element[['contractData']][['inherentlyGovernmentalFunction']][[1]],no,"VARCHAR(10),","Indicates the type of the ""Inherently Governmental Function"" used on the action."
INTER_MUNICIPAL,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isInterMunicipalLocalGovernment']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['localGovernment']][['isInterMunicipalLocalGovernment']][[1]],no,VARCHAR(3),https://www.sam.gov
INTERNATIONAL_ORGANIZATION,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isInternationalOrganization']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['businessOrOrganizationType']][['isInternationalOrganization']][[1]],no,VARCHAR(3),https://www.sam.gov
INTERSTATE_ENTITY,list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isInterstateEntity']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfGovernmentEntity']][['isInterstateEntity']][[1]],no,VARCHAR(3),https://www.sam.gov
IS_PERFOR_BASED_SER_ACQU,list_element[['contractData']][['performanceBasedServiceContract']][[1]],list_element[['contractData']][['performanceBasedServiceContract']][[1]],no,VARCHAR(1),"Indicates whether the contract action is a PBA of services as defined by FAR 37.601. A PBSA: a. Describes the requirements in terms of results required rather than the methods of performance of the work b. Uses measurable performance standards (i.e. terms of quality, timelines, quantity etc.) and quality assurance surveillance plans (refer to 46.103(a) and 46.401(a)) c. Specifies procedures for reductions of fee or for reductions to the price of a fixed-price contract when services are not performed or do not meet contract requirements (refer to 46.407) d. Includes performance incentives where applicable. For FPDS reporting purposes, a minimum of 80% of the anticipated obligations under the procurements action must meet the above requirements for FY 2004 and prior and a minimum of 50% of the anticipated obligations under the procurements action must meet the above requirements for FY 2005 and later."
IT_COMMERCIAL_ITEM_CATEGORY,list_element[['productOrServiceInformation']][['informationTechnologyCommercialItemCategory']][[1]],NA,no,VARCHAR(3),A code that designates the commercial availability of an information technology product or service.
JVWOSB_FLAG,list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['isJointVentureWomenOwnedSmallBusiness']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorSocioEconomicIndicators']][['minorityOwned']][['isJointVentureWomenOwnedSmallBusiness']][[1]],no,VARCHAR(3),"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is a Joint Venture Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'."
LABOR_SURPLUS_AREA_FIRM,list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isLaborSurplusAreaFirm']][[1]],list_element[['vendor']][['vendorSiteDetails']][['vendorBusinessTypes']][['isLaborSurplusAreaFirm']][[1]],no,VARCHAR(3),https://www.sam.gov
LAND_GRANT_COLLEGE_1862,list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['is1862LandGrantCollege']][[1]],list_element[['vendor']][['vendorSiteDetails']][['typeOfEducationalEntity']][['is1862LandGrantCollege']][[1]],no,VARCHAR(3),https://www.sam.gov
